candidate_id,tile_id,mask_index,label,note,selection_rule,bbox_xyxy,local_bbox_xyxy,tile_box_xyxy,area,sam_score
32,r0_c1,117,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[394,95,402,103]","[181,95,189,103]","[213,0,427,171]",48,0.9548380970954895
33,r0_c2,138,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[428,99,435,106]","[1,99,8,106]","[427,0,640,171]",40,0.9589159488677979
34,r0_c3,100,uncertain,,target_split36_tile_local_area_in_clean_q25_q75,"[812,101,819,108]","[172,101,179,108]","[640,0,853,171]",43,0.9633268117904663
35,r0_c2,151,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[585,103,592,111]","[158,103,165,111]","[427,0,640,171]",38,0.9563478231430054
36,r0_c0,244,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[161,106,168,115]","[161,106,168,115]","[0,0,213,171]",44,0.9297581315040588
37,r0_c3,252,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[681,109,689,117]","[41,109,49,117]","[640,0,853,171]",50,0.9378501176834106
38,r0_c4,28,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[982,113,990,120]","[129,113,137,120]","[853,0,1067,171]",44,0.9743044376373291
39,r0_c3,311,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[838,115,845,123]","[198,115,205,123]","[640,0,853,171]",45,0.9211505055427551
40,r0_c3,137,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[666,119,673,126]","[26,119,33,126]","[640,0,853,171]",40,0.9574451446533203
41,r0_c5,256,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1191,120,1198,128]","[124,120,131,128]","[1067,0,1280,171]",39,0.9398602247238159
42,r0_c3,45,uncertain,,target_split36_tile_local_area_in_clean_q25_q75,"[689,123,697,131]","[49,123,57,131]","[640,0,853,171]",48,0.9701625108718872
43,r0_c0,49,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[73,126,81,134]","[73,126,81,134]","[0,0,213,171]",47,0.9682648777961731
44,r0_c0,171,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[160,130,168,139]","[160,130,168,139]","[0,0,213,171]",48,0.9456618428230286
45,r0_c0,193,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[98,132,104,142]","[98,132,104,142]","[0,0,213,171]",48,0.9408565163612366
46,r0_c4,87,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[970,136,977,145]","[117,136,124,145]","[853,0,1067,171]",46,0.9660272002220154
47,r0_c5,172,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1087,140,1098,146]","[20,140,31,146]","[1067,0,1280,171]",50,0.9524089097976685
48,r0_c4,153,uncertain,,target_split36_tile_local_area_in_clean_q25_q75,"[990,144,998,151]","[137,144,145,151]","[853,0,1067,171]",39,0.9561962485313416
49,r0_c3,64,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[747,148,754,154]","[107,148,114,154]","[640,0,853,171]",37,0.9676105380058289
50,r0_c4,219,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[923,150,930,158]","[70,150,77,158]","[853,0,1067,171]",44,0.9472135305404663
51,r0_c4,71,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[959,153,966,162]","[106,153,113,162]","[853,0,1067,171]",48,0.9674968719482422
52,r0_c4,23,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[937,158,944,165]","[84,158,91,165]","[853,0,1067,171]",40,0.9751407504081726
53,r0_c3,166,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[826,160,833,167]","[186,160,193,167]","[640,0,853,171]",43,0.953903079032898
54,r0_c0,31,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[104,162,112,170]","[104,162,112,170]","[0,0,213,171]",43,0.9713916182518005
55,r0_c2,230,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[445,167,457,171]","[18,167,30,171]","[427,0,640,171]",40,0.940041720867157
56,r1_c0,155,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[44,171,52,180]","[44,0,52,9]","[0,171,213,342]",50,0.9460262656211853
57,r1_c5,188,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1164,174,1173,181]","[97,3,106,10]","[1067,171,1280,342]",41,0.948043704032898
58,r1_c4,115,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[995,177,1003,184]","[142,6,150,13]","[853,171,1067,342]",43,0.956696093082428
59,r1_c5,90,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1160,179,1167,187]","[93,8,100,16]","[1067,171,1280,342]",41,0.9635853171348572
60,r1_c4,25,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[907,184,914,191]","[54,13,61,20]","[853,171,1067,342]",41,0.9753032922744751
61,r1_c3,106,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[687,188,694,195]","[47,17,54,24]","[640,171,853,342]",46,0.952035129070282
62,r1_c0,77,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[171,190,179,198]","[171,19,179,27]","[0,171,213,342]",47,0.959756076335907
63,r1_c0,165,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[140,196,150,202]","[140,25,150,31]","[0,171,213,342]",44,0.9436582326889038
64,r1_c4,278,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1018,198,1028,205]","[165,27,175,34]","[853,171,1067,342]",50,0.917280375957489
65,r1_c5,13,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1145,203,1152,210]","[78,32,85,39]","[1067,171,1280,342]",42,0.9800896048545837
66,r1_c0,95,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[167,207,173,216]","[167,36,173,45]","[0,171,213,342]",37,0.9562250375747681
67,r1_c4,267,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[989,214,996,221]","[136,43,143,50]","[853,171,1067,342]",44,0.9215636253356934
68,r1_c4,156,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1046,222,1053,229]","[193,51,200,58]","[853,171,1067,342]",39,0.9491004943847656
69,r1_c0,15,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[65,225,73,233]","[65,54,73,62]","[0,171,213,342]",50,0.9784642457962036
70,r1_c5,215,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1079,230,1086,239]","[12,59,19,68]","[1067,171,1280,342]",41,0.9405654072761536
71,r1_c4,63,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[870,235,878,242]","[17,64,25,71]","[853,171,1067,342]",47,0.9650808572769165
72,r1_c4,197,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[967,239,974,246]","[114,68,121,75]","[853,171,1067,342]",42,0.9396479725837708
73,r1_c2,227,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[615,244,625,250]","[188,73,198,79]","[427,171,640,342]",47,0.916999101638794
74,r1_c4,80,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[881,248,889,255]","[28,77,36,84]","[853,171,1067,342]",45,0.9611565470695496
75,r1_c5,158,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1166,252,1172,261]","[99,81,105,90]","[1067,171,1280,342]",43,0.9526143670082092
76,r1_c2,221,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[504,261,512,268]","[77,90,85,97]","[427,171,640,342]",43,0.9185181856155396
77,r1_c2,187,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[450,266,457,273]","[23,95,30,102]","[427,171,640,342]",44,0.9286009073257446
78,r1_c1,57,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[339,270,346,278]","[126,99,133,107]","[213,171,427,342]",48,0.9652096033096313
79,r1_c3,28,uncertain,,target_split36_tile_local_area_in_clean_q25_q75,"[682,277,690,284]","[42,106,50,113]","[640,171,853,342]",47,0.970428466796875
80,r1_c4,26,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[883,284,891,291]","[30,113,38,120]","[853,171,1067,342]",44,0.9749586582183838
81,r1_c4,30,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[856,288,863,296]","[3,117,10,125]","[853,171,1067,342]",44,0.9728096127510071
82,r1_c0,265,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[207,291,213,303]","[207,120,213,132]","[0,171,213,342]",45,0.8834024667739868
83,r1_c2,53,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[588,298,596,307]","[161,127,169,136]","[427,171,640,342]",50,0.9637250900268555
84,r1_c2,117,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[482,303,490,311]","[55,132,63,140]","[427,171,640,342]",50,0.9497338533401489
85,r1_c0,192,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[13,307,19,315]","[13,136,19,144]","[0,171,213,342]",38,0.933068573474884
86,r1_c1,16,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[351,315,359,322]","[138,144,146,151]","[213,171,427,342]",44,0.9750116467475891
87,r1_c0,132,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[48,321,57,329]","[48,150,57,158]","[0,171,213,342]",50,0.9501158595085144
88,r1_c5,253,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1103,325,1112,332]","[36,154,45,161]","[1067,171,1280,342]",48,0.9322614669799805
89,r1_c0,257,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[89,330,95,338]","[89,159,95,167]","[0,171,213,342]",38,0.8929397463798523
90,r1_c2,70,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[474,336,482,342]","[47,165,55,171]","[427,171,640,342]",41,0.9601359963417053
91,r2_c5,138,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1169,342,1177,349]","[102,0,110,7]","[1067,342,1280,513]",43,0.9488075971603394
92,r2_c4,94,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[854,348,860,357]","[1,6,7,15]","[853,342,1067,513]",39,0.9570618867874146
93,r2_c2,33,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[586,356,593,363]","[159,14,166,21]","[427,342,640,513]",39,0.9704391956329346
94,r2_c1,37,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[272,361,279,368]","[59,19,66,26]","[213,342,427,513]",43,0.9744595289230347
95,r2_c0,20,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[203,363,211,371]","[203,21,211,29]","[0,342,213,513]",43,0.9754400253295898
96,r2_c1,211,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[235,369,242,376]","[22,27,29,34]","[213,342,427,513]",48,0.9463624954223633
97,r2_c4,50,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[876,373,883,381]","[23,31,30,39]","[853,342,1067,513]",47,0.9662955403327942
98,r2_c1,113,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[296,380,303,387]","[83,38,90,45]","[213,342,427,513]",39,0.9624972343444824
99,r2_c3,175,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[748,385,756,392]","[108,43,116,50]","[640,342,853,513]",39,0.943431556224823
100,r2_c0,256,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[153,391,159,399]","[153,49,159,57]","[0,342,213,513]",37,0.9315831661224365
101,r2_c3,267,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[731,394,739,402]","[91,52,99,60]","[640,342,853,513]",45,0.9066982865333557
102,r2_c3,101,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[742,400,750,407]","[102,58,110,65]","[640,342,853,513]",42,0.9618748426437378
103,r2_c0,198,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1,406,10,414]","[1,64,10,72]","[0,342,213,513]",49,0.9411399364471436
104,r2_c4,58,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[901,408,907,416]","[48,66,54,74]","[853,342,1067,513]",43,0.964516818523407
105,r2_c1,98,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[385,414,392,421]","[172,72,179,79]","[213,342,427,513]",42,0.9653026461601257
106,r2_c5,65,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1228,418,1236,425]","[161,76,169,83]","[1067,342,1280,513]",40,0.9649405479431152
107,r2_c0,18,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[16,424,23,431]","[16,82,23,89]","[0,342,213,513]",43,0.9757304191589355
108,r2_c0,70,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[40,428,47,435]","[40,86,47,93]","[0,342,213,513]",42,0.965292751789093
109,r2_c1,152,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[418,432,425,440]","[205,90,212,98]","[213,342,427,513]",38,0.9574342966079712
110,r2_c1,266,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[321,437,327,444]","[108,95,114,102]","[213,342,427,513]",37,0.9334991574287415
111,r2_c1,19,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[395,440,402,447]","[182,98,189,105]","[213,342,427,513]",44,0.9776580929756165
112,r2_c4,45,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[857,443,864,451]","[4,101,11,109]","[853,342,1067,513]",42,0.9673814177513123
113,r2_c2,7,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[468,447,476,454]","[41,105,49,112]","[427,342,640,513]",45,0.9811818599700928
114,r2_c5,10,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1139,450,1147,457]","[72,108,80,115]","[1067,342,1280,513]",46,0.9777757525444031
115,r2_c1,129,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[257,453,263,461]","[44,111,50,119]","[213,342,427,513]",41,0.9605042338371277
116,r2_c3,79,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[648,456,657,464]","[8,114,17,122]","[640,342,853,513]",49,0.9646029472351074
117,r2_c0,125,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[130,461,137,467]","[130,119,137,125]","[0,342,213,513]",38,0.9548072218894958
118,r2_c4,39,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[855,464,862,471]","[2,122,9,129]","[853,342,1067,513]",39,0.9686816930770874
119,r2_c0,350,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[68,467,75,475]","[68,125,75,133]","[0,342,213,513]",42,0.8819669485092163
120,r2_c5,104,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1221,470,1229,478]","[154,128,162,136]","[1067,342,1280,513]",47,0.9559815526008606
121,r2_c0,28,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[205,475,212,482]","[205,133,212,140]","[0,342,213,513]",45,0.9732423424720764
122,r2_c4,212,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1022,477,1029,487]","[169,135,176,145]","[853,342,1067,513]",38,0.9312344193458557
123,r2_c1,269,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[259,481,265,489]","[46,139,52,147]","[213,342,427,513]",41,0.9331154823303223
124,r2_c1,49,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[214,486,221,495]","[1,144,8,153]","[213,342,427,513]",48,0.9734768867492676
125,r2_c1,248,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[419,489,427,497]","[206,147,214,155]","[213,342,427,513]",47,0.9379189610481262
126,r2_c5,100,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1223,492,1229,501]","[156,150,162,159]","[1067,342,1280,513]",46,0.9565733671188354
127,r2_c4,37,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[930,495,937,503]","[77,153,84,161]","[853,342,1067,513]",44,0.969208300113678
128,r2_c0,27,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[3,499,11,507]","[3,157,11,165]","[0,342,213,513]",47,0.9733304977416992
129,r2_c2,34,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[463,502,470,510]","[36,160,43,168]","[427,342,640,513]",43,0.9699501991271973
130,r2_c1,130,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[232,505,239,513]","[19,163,26,171]","[213,342,427,513]",40,0.960442066192627
131,r3_c5,215,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1202,513,1213,518]","[135,0,146,5]","[1067,513,1280,684]",37,0.9308964014053345
132,r3_c3,47,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[718,514,724,521]","[78,1,84,8]","[640,513,853,684]",38,0.9703689813613892
133,r3_c1,274,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[331,517,339,524]","[118,4,126,11]","[213,513,427,684]",44,0.9370641708374023
134,r3_c2,3,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[543,520,550,527]","[116,7,123,14]","[427,513,640,684]",44,0.9996790885925293
135,r3_c0,145,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[75,524,81,532]","[75,11,81,19]","[0,513,213,684]",37,0.9576839208602905
136,r3_c5,30,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1251,527,1257,535]","[184,14,190,22]","[1067,513,1280,684]",37,0.9700133800506592
137,r3_c4,78,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[989,530,996,538]","[136,17,143,25]","[853,513,1067,684]",43,0.9630382061004639
138,r3_c1,107,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[282,533,288,542]","[69,20,75,29]","[213,513,427,684]",39,0.9627898931503296
139,r3_c3,76,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[715,536,722,545]","[75,23,82,32]","[640,513,853,684]",48,0.9655770659446716
140,r3_c1,181,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[328,540,337,547]","[115,27,124,34]","[213,513,427,684]",50,0.9549676179885864
141,r3_c0,62,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[97,544,104,551]","[97,31,104,38]","[0,513,213,684]",44,0.9703674912452698
142,r3_c2,45,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[453,546,461,554]","[26,33,34,41]","[427,513,640,684]",47,0.9724236726760864
143,r3_c2,202,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[586,551,593,558]","[159,38,166,45]","[427,513,640,684]",44,0.9510482549667358
144,r3_c2,21,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[447,553,455,560]","[20,40,28,47]","[427,513,640,684]",41,0.9789938926696777
145,r3_c3,128,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[760,556,768,563]","[120,43,128,50]","[640,513,853,684]",42,0.9576364159584045
146,r3_c0,225,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[161,560,172,565]","[161,47,172,52]","[0,513,213,684]",50,0.947293221950531
147,r3_c0,325,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[170,563,178,570]","[170,50,178,57]","[0,513,213,684]",42,0.9251793026924133
148,r3_c4,36,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[970,565,977,572]","[117,52,124,59]","[853,513,1067,684]",44,0.973499059677124
149,r3_c1,109,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[411,569,418,576]","[198,56,205,63]","[213,513,427,684]",41,0.9625736474990845
150,r3_c4,263,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[872,570,879,578]","[19,57,26,65]","[853,513,1067,684]",37,0.9240342378616333
151,r3_c4,115,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1039,573,1047,581]","[186,60,194,68]","[853,513,1067,684]",49,0.9571923017501831
152,r3_c4,89,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[906,577,915,583]","[53,64,62,70]","[853,513,1067,684]",44,0.9612390398979187
153,r3_c1,171,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[355,581,364,588]","[142,68,151,75]","[213,513,427,684]",48,0.9562606811523438
154,r3_c4,74,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1052,583,1060,591]","[199,70,207,78]","[853,513,1067,684]",46,0.9647688269615173
155,r3_c0,387,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[84,587,92,595]","[84,74,92,82]","[0,513,213,684]",45,0.8959972262382507
156,r3_c5,34,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1163,590,1169,597]","[96,77,102,84]","[1067,513,1280,684]",38,0.9688745737075806
157,r3_c3,313,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[805,592,811,601]","[165,79,171,88]","[640,513,853,684]",43,0.9025372266769409
158,r3_c4,185,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1053,596,1062,603]","[200,83,209,90]","[853,513,1067,684]",49,0.9430803656578064
159,r3_c5,249,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1237,598,1245,605]","[170,85,178,92]","[1067,513,1280,684]",42,0.9135830402374268
160,r3_c1,263,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[246,603,254,610]","[33,90,41,97]","[213,513,427,684]",44,0.9398918747901917
161,r3_c3,182,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[825,605,833,613]","[185,92,193,100]","[640,513,853,684]",43,0.9482959508895874
162,r3_c0,319,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[92,607,99,617]","[92,94,99,104]","[0,513,213,684]",47,0.926883339881897
163,r3_c3,181,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[647,612,655,619]","[7,99,15,106]","[640,513,853,684]",46,0.9484717845916748
164,r3_c2,30,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[566,615,573,622]","[139,102,146,109]","[427,513,640,684]",42,0.9765680432319641
165,r3_c5,211,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1092,618,1100,626]","[25,105,33,113]","[1067,513,1280,684]",48,0.9315833449363708
166,r3_c1,91,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[391,624,398,631]","[178,111,185,118]","[213,513,427,684]",42,0.9656604528427124
167,r3_c0,178,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[196,627,204,635]","[196,114,204,122]","[0,513,213,684]",45,0.9531958103179932
168,r3_c1,26,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[385,631,392,638]","[172,118,179,125]","[213,513,427,684]",41,0.9764798879623413
169,r3_c1,72,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[317,633,324,640]","[104,120,111,127]","[213,513,427,684]",43,0.9691475629806519
